Early_Delinquency_Flag,amort_short_mean,Zero_Payment_Streak
0.0,0.6310521718058854,0.0
0.0,-1.1994567007014934,0.0
1.0,1.218798282913872,1.0
0.0,0.024077254239690808,0.0
0.0,0.6323334337066406,0.0
1.0,3.9937055672084916e-12,0.0
0.0,-2.1371496615743335e-11,0.0
0.0,0.5733608505529657,0.0
0.0,-3.0367479746380512,0.0
0.0,0.02678679237479992,0.0
0.0,0.633157423325877,0.0
0.0,-0.750718978766209,0.0
0.0,0.6314251195317302,0.0
1.0,1.2347319039866362,1.0
0.0,-0.6073495949178225,0.0
0.0,0.6073495948520518,0.0
0.0,7.781414468856405e-12,0.0
0.0,-2.4293983797088856,0.0
1.0,6.601973985827646e-12,0.0
0.0,-1.334157127588087e-11,0.0
0.0,0.029762853622131758,0.0
0.0,-0.25129011650806377,0.0
0.0,0.6073495948883786,0.0
0.0,0.02344435169255781,0.0
0.0,0.6298394899411244,0.0
0.0,-0.04180628739547929,0.0
0.0,0.6073495949110457,0.0
0.0,0.02552999198869237,0.0
0.0,0.6073495949225565,0.0
0.0,-0.9570507077512233,0.0
2.0,-1.8220487847895888,0.0
0.0,-0.12093823025333925,0.0
0.0,-0.10351124346201868,0.0
0.0,0.023110378496818188,0.0
1.0,1.2297271343643605,0.0
0.0,-0.6073495949351648,0.0
0.0,0.6302277881569324,0.0
0.0,-1.2146991898521804,0.0
0.0,0.6297264821272869,0.0
0.0,-1.822048784789255,0.0
0.0,0.022263495502935892,0.0
0.0,-0.5839429794378302,0.0
0.0,-1.192195563014853,0.0
0.0,0.23083928818427882,0.0
0.0,0.3234692887482023,0.0
0.0,-0.5824282312840924,0.0
0.0,-1.822048784790744,0.0
3.0,1.8220487847926043,2.0
0.0,0.02418906065460372,0.0
1.0,0.0958224881045549,0.0
0.0,0.01164504478541241,0.0
0.0,0.6073495949272729,0.0
2.0,0.6292154376965098,0.0
0.0,-7.665267412742461e-12,0.0
0.0,-3.0367479746380512,0.0
0.0,0.6315883821306911,0.0
2.0,1.8231204790313522,0.0
0.0,0.6306364047893038,0.0
0.0,-2.4293958854723754,0.0
0.0,0.631548255935878,0.0
0.0,0.6342028751134615,0.0
0.0,0.0437581633119858,0.0
0.0,0.025572337951786855,0.0
0.0,0.06420437896571726,0.0
1.0,0.6073495949387465,1.0
0.0,-0.5813490103761714,0.0
1.0,0.6137435317511453,0.0
0.0,-0.0497871813919805,0.0
0.0,-1.2146991898542963,0.0
2.0,1.2146991898387047,1.0
1.0,1.17028020577298e-11,1.0
0.0,-0.6036900325016695,0.0
0.0,0.6319083838288722,0.0
1.0,1.2303327168035227,0.0
0.0,0.02556843964359235,0.0
0.0,-0.5831694266140515,0.0
0.0,-0.9356814434488154,0.0
0.0,-0.1455564290710147,0.0
0.0,3.813568057537433e-12,0.0
0.0,0.024610635534655805,0.0
1.0,1.8304777220256205,0.0
0.0,0.5593842742323862,0.0
0.0,-0.7758304272864052,0.0
0.0,-0.5847870888396624,0.0
0.0,0.6601606236751782,0.0
0.0,0.4649002255851114,0.0
0.0,-1.1912832653012233,0.0
0.0,0.024236073550565826,0.0
0.0,-0.7963089864302422,0.0
0.0,5.338297012778573e-06,0.0
0.0,0.025771260860938092,0.0
0.0,-0.5836243132060773,0.0
0.0,-2.5041492603620217,0.0
0.0,-3.0367479746380512,0.0
0.0,0.028370198842702688,0.0
0.0,0.6073495949028646,0.0
0.0,0.6328903931895014,0.0
0.0,-0.6034541016828832,0.0
0.0,0.022872405138870375,0.0
0.0,-3.0367479746380512,0.0
0.0,-0.313489511652699,0.0
1.0,0.607349594936886,0.0
0.0,-0.5771996412228645,0.0
0.0,-2.429398379708393,0.0
1.0,1.21469918979937,0.0
0.0,-1.8220487847866742,0.0
3.0,1.226777423669828,0.0
0.0,0.024145004883470083,0.0
0.0,0.631448756652381,0.0
0.0,-0.5876778379712893,0.0
0.0,0.4288500592129656,0.0
0.0,-0.745274636824373,0.0
0.0,-0.600488499868716,0.0
0.0,5.1397964417976254e-05,0.0
0.0,0.6315778981651201,0.0
1.0,0.6073495949239766,0.0
2.0,1.8220487847623832,0.0
0.0,0.607349594922198,0.0
0.0,-1.1888796064948544,0.0
0.0,0.15176491519024687,0.0
0.0,-0.5836702068471564,0.0
0.0,0.6081242407979148,0.0
0.0,-1.1878106947496898,0.0
1.0,-1.1994981760911434,0.0
1.0,0.6073495949250614,0.0
0.0,-2.3176434919005193,0.0
0.0,-1.7974635039619846,0.0
0.0,-0.04539041580993368,0.0
0.0,0.025546069481634372,0.0
0.0,-3.5133388747523343e-12,0.0
0.0,-3.0367479746380512,0.0
0.0,-1.2128395342639817,0.0
1.0,0.6073495949379949,0.0
2.0,0.9425662078574308,1.0
6.0,4.2514471645114815,7.0
0.0,-1.2146991898475137,0.0
0.0,-0.9730421271406913,0.0
0.0,-2.238390135297257,0.0
0.0,-0.6868791838552242,0.0
2.0,1.226981690306582,0.0
0.0,-1.2146991898487496,0.0
